DateTime,rain,temp_min,temp_max
1972-10-30,3.3436,20.32,28.01
1972-10-31,16.4566,20.65,29.6
1972-11-01,10.7895,21.21,28.09
1972-11-02,0,20.99,28.35
1972-11-03,0.3545,20.95,27.74
1972-11-04,2.3072,20.61,28.61
1972-11-05,0.9091,20.57,28.7
1972-11-06,9.077,20.33,28.69
1972-11-07,0.2377,20.2,28.29
1972-11-08,0,19.78,28.56
1972-11-09,0,20.37,28.26
1972-11-10,0,19.19,29.07
1972-11-11,0,17.32,28.43
1972-11-12,0,17.86,28.46
1972-11-13,0,18.32,29.12
1972-11-14,0,19.17,29.65
1972-11-15,0,18.36,29.47
1972-11-16,0,18.68,28.8
1972-11-17,0,19.21,29.65
1972-11-18,0,17.06,28.71
1972-11-19,0,16.28,29.01
1972-11-20,0,15.93,29.08
1972-11-21,0,16.03,28.49
1972-11-22,0,14.95,28.29
1972-11-23,0,19.39,28.74
1972-11-24,14.004,19.4,25.36
1972-11-25,1.7742,19.59,25.95
1972-11-26,0,19.09,29.24
1972-11-27,0,20.07,29.76
1972-11-28,0,19.4,29.89
1972-11-29,0,20.39,29.94
1972-11-30,0,19.23,29.28
1972-12-01,0,17.6,28.54
1972-12-02,0,16.91,27.83
1972-12-03,0,17.75,27.1
1972-12-04,0,19.46,26.95
1972-12-05,0.1585,18.98,25.55
1972-12-06,0.515,18.95,25.91
1972-12-07,25.6147,19.28,23.94
1972-12-08,20.7054,19.65,23.32
1972-12-09,15.7681,19.77,22.56
1972-12-10,8.1887,20.39,23.58
1972-12-11,2.3787,20.3,25.83
1972-12-12,0,17.82,26.03
1972-12-13,0,18.11,27.47
1972-12-14,0,18.61,27.45
1972-12-15,0,17.06,27.03
1972-12-16,0,17.1,26.96
1972-12-17,0,16.49,27.58
1972-12-18,0,15.15,27.54
1972-12-19,0,14.95,27.34
1972-12-20,0,16.16,27.99
1972-12-21,0,16.41,27.81
1972-12-22,0,17.74,29.33
1972-12-23,0,17.42,29.83
1972-12-24,0,19.14,29.54
1972-12-25,0,18.09,28.87
1972-12-26,0,17.62,28.37
1972-12-27,0,16.64,28.22
1972-12-28,0,15.25,27.55
1972-12-29,0,16,27.49
1972-12-30,0,14.9,28.01
1972-12-31,0,14.67,28.96
1973-01-01,0,16.28,28.03
1973-01-02,0,15.51,27.44
1973-01-03,0,15.03,28.17
1973-01-04,0,14.83,28.37
1973-01-05,0,14.88,28.27
1973-01-06,0,15.69,29.09
1973-01-07,0,15.42,28.94
1973-01-08,0,16.03,29.03
1973-01-09,0,16.61,29.42
1973-01-10,0,16.4,29.75
1973-01-11,0,16.58,30.1
1973-01-12,0,15.9,28.69
1973-01-13,0,15.15,28.67
1973-01-14,0,14.49,29.68
1973-01-15,0,15.1,30.7
1973-01-16,0,16.61,30.58
1973-01-17,0,16.29,30.04
1973-01-18,0,16.2,29.82
1973-01-19,0,16.4,30.14
1973-01-20,0,15.79,30.21
1973-01-21,0,14.81,29.48
1973-01-22,0,14.76,29.72
1973-01-23,0,14.02,29.61
1973-01-24,0,14.59,28.52
1973-01-25,0,15.51,28.38
1973-01-26,0,15.72,28.25
1973-01-27,0,16.38,30.3
1973-01-28,0,15.55,29.55
1973-01-29,0,16.23,30.09
1973-01-30,0,15.85,29.73
1973-01-31,0,16.87,29.78
1973-02-01,0,18.44,30.7
1973-02-02,0,18.34,30.65
1973-02-03,0,17.44,30.25
1973-02-04,0,17.44,30.38
1973-02-05,0,18.02,29.48
1973-02-06,0,17.95,30.52
1973-02-07,0,16.83,30.65
1973-02-08,0,16.53,30.08
1973-02-09,0,16.44,29.41
1973-02-10,0,16.38,29.89
1973-02-11,0,16.69,29.2
1973-02-12,0,17.09,30.24
1973-02-13,0,17.33,30.44
1973-02-14,0,17.46,30.47
1973-02-15,0,17.97,31.05
1973-02-16,0,19.14,32.05
1973-02-17,0,19.09,32.13
1973-02-18,0,19.29,33.22
1973-02-19,0,18.75,33.22
1973-02-20,0,18.78,32.86
1973-02-21,0,17.31,32.44
1973-02-22,0,16.75,31.92
1973-02-23,0,20.09,31.5
1973-02-24,0,18.16,31.5
1973-02-25,0,17.56,32.83
1973-02-26,0,17.31,33.64
1973-02-27,0,18.54,33.27
1973-02-28,0,19.53,34.42
1973-03-01,0,19.9,34.34
1973-03-02,0,19.57,34.99
1973-03-03,0,19.14,34.76
1973-03-04,0,19.96,33.82
1973-03-05,0,19.87,32.65
1973-03-06,0,18.48,31.18
1973-03-07,0,18.48,33.47
1973-03-08,0,20,34.57
1973-03-09,0,20.29,35.3
1973-03-10,0,20.17,35.17
1973-03-11,0,18.65,34.74
1973-03-12,0,18.56,35.17
1973-03-13,0,19.62,35.68
1973-03-14,0,19.65,35.68
1973-03-15,0,18.67,34.72
1973-03-16,0,19.39,34.28
1973-03-17,0,18.01,34.16
1973-03-18,0,18.52,34.13
1973-03-19,0,18.54,34.31
1973-03-20,0,19.46,35.13
1973-03-21,0,19.88,36.58
1973-03-22,0,21,35.82
1973-03-23,0,20.33,35.78
1973-03-24,0,20.59,35.18
1973-03-25,0,20.23,34.83
1973-03-26,0,19.49,35
1973-03-27,0,19.54,34.67
1973-03-28,0,19.05,34.99
1973-03-29,0,19.49,35.16
1973-03-30,0,19.91,34.69
1973-03-31,0,21.98,34.02
1973-04-01,0,22.35,34.9
1973-04-02,0,21.79,34.8
1973-04-03,0.5292,23.12,34.69
1973-04-04,0.1772,22.45,35.17
1973-04-05,0,22.97,33.17
1973-04-06,0,22.86,34.84
1973-04-07,0,22.8,34.67
1973-04-08,0,23.82,34.09
1973-04-09,0,22.96,36.27
1973-04-10,0,23.15,36.05
1973-04-11,0,23.04,36.46
1973-04-12,7.2112,22.05,36.89
1973-04-13,0,23.59,36.27
1973-04-14,0,23.76,36.58
1973-04-15,0,23.68,35.76
1973-04-16,0,23.03,36.42
1973-04-17,0,22.99,36.05
1973-04-18,0,22.48,35.27
1973-04-19,0,21.48,35.45
